race_name,short_race_name,date,lap,driver_ID,driver,section,speed_mph
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,9,51,"Abel, Jacob",S06_Turn9,60.158
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,9,51,"Abel, Jacob",S07_Turn9a,132.231
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,9,51,"Abel, Jacob",S08_Turn10,78.236
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,9,51,"Abel, Jacob",S09_Turns11_12,123.486
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,9,51,"Abel, Jacob",S10_Turns13_14,80.916
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,9,51,"Abel, Jacob",S11_FS_PI,144.071
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,9,51,"Abel, Jacob",lap_speed_mph,99.216
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,10,51,"Abel, Jacob",S01_FS_PO,157.543
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,10,51,"Abel, Jacob",S02_Turn1,80.1
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,10,51,"Abel, Jacob",S03_Turns2_3,116.155
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,10,51,"Abel, Jacob",S04_Turn4,82.391
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,10,51,"Abel, Jacob",S05_Turns5_8,69.459
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,10,51,"Abel, Jacob",S06_Turn9,63.052
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,10,51,"Abel, Jacob",S07_Turn9a,130.618
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,10,51,"Abel, Jacob",S08_Turn10,84.261
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,10,51,"Abel, Jacob",S09_Turns11_12,124.95
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,10,51,"Abel, Jacob",S10_Turns13_14,82.811
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,10,51,"Abel, Jacob",S11_FS_PI,143.948
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,10,51,"Abel, Jacob",lap_speed_mph,98.996
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,11,51,"Abel, Jacob",S01_FS_PO,158.782
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,11,51,"Abel, Jacob",S02_Turn1,82.087
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,11,51,"Abel, Jacob",S03_Turns2_3,130.186
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,11,51,"Abel, Jacob",S04_Turn4,88.906
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,11,51,"Abel, Jacob",S05_Turns5_8,69.897
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,11,51,"Abel, Jacob",S06_Turn9,64.228
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,11,51,"Abel, Jacob",S07_Turn9a,130.998
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,11,51,"Abel, Jacob",S08_Turn10,84.639
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,11,51,"Abel, Jacob",S09_Turns11_12,124.037
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,11,51,"Abel, Jacob",S10_Turns13_14,82.807
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,11,51,"Abel, Jacob",S11_FS_PI,143.583
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,11,51,"Abel, Jacob",lap_speed_mph,101.354
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,12,51,"Abel, Jacob",S01_FS_PO,158.192
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,12,51,"Abel, Jacob",S02_Turn1,81.983
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,12,51,"Abel, Jacob",S03_Turns2_3,129.259
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,12,51,"Abel, Jacob",S04_Turn4,90.485
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,12,51,"Abel, Jacob",S05_Turns5_8,70.591
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,12,51,"Abel, Jacob",S06_Turn9,62.799
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,12,51,"Abel, Jacob",S07_Turn9a,131.272
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,12,51,"Abel, Jacob",S08_Turn10,86.703
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,12,51,"Abel, Jacob",S09_Turns11_12,123.892
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,12,51,"Abel, Jacob",S10_Turns13_14,82.581
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,12,51,"Abel, Jacob",S11_FS_PI,143.042
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,12,51,"Abel, Jacob",lap_speed_mph,101.542
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,13,51,"Abel, Jacob",S01_FS_PO,158.428
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,13,51,"Abel, Jacob",S02_Turn1,81.702
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,13,51,"Abel, Jacob",S03_Turns2_3,128.726
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,13,51,"Abel, Jacob",S04_Turn4,90.619
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,13,51,"Abel, Jacob",S05_Turns5_8,70.685
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,13,51,"Abel, Jacob",S06_Turn9,62.568
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,13,51,"Abel, Jacob",S07_Turn9a,132.772
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,13,51,"Abel, Jacob",S08_Turn10,87.94
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,13,51,"Abel, Jacob",S09_Turns11_12,124.668
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,13,51,"Abel, Jacob",S10_Turns13_14,82.014
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,13,51,"Abel, Jacob",S11_FS_PI,142.891
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,13,51,"Abel, Jacob",lap_speed_mph,101.665
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,14,51,"Abel, Jacob",S01_FS_PO,156.847
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,14,51,"Abel, Jacob",S02_Turn1,81.077
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,14,51,"Abel, Jacob",S03_Turns2_3,128.79
