Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,
Jake Marisnick,DET,OF,32,33,69,9,16,3,2,2,10,2,2,3,20,1,1,1,0.232,0.27,0.42,0.69,
Aaron Hicks,NYY,OF,34,28,69,9,13,2,0,1,5,0,0,7,20,0,0,0,0.188,0.263,0.261,0.524,
Franchy Cordero,NYY,OF,29,24,69,9,13,2,0,6,13,0,0,2,25,0,0,0,0.188,0.211,0.478,0.689,
Luke Voit,MIL,1B,32,22,68,5,15,3,0,0,4,2,0,4,27,0,0,2,0.221,0.284,0.265,0.549,
Ben Rortvedt,NYY,C,26,32,68,6,8,1,0,2,4,0,0,11,19,0,0,0,0.118,0.241,0.221,0.462,
Dane Myers,MIA,OF,27,22,67,9,18,3,0,1,9,1,1,2,19,0,1,0,0.269,0.286,0.358,0.644,
Clint Frazier,CWS,OF,29,33,66,10,13,1,1,0,3,4,2,10,23,0,0,0,0.197,0.303,0.242,0.545,
Nicky Lopez,ATL,2B,28,26,65,13,18,3,0,1,12,2,0,5,10,0,1,1,0.277,0.333,0.369,0.702,
Garrett Mitchell,MIL,OF,25,19,65,10,16,2,1,3,7,1,1,7,26,0,1,0,0.246,0.315,0.446,0.761,
Danny Mendick,NYM,SS,30,35,65,4,12,3,0,1,4,1,0,4,15,0,0,0,0.185,0.232,0.277,0.509,
Korey Lee,CWS,C,25,24,65,4,5,1,0,1,3,0,0,5,20,0,0,0,0.077,0.143,0.138,0.281,
Brett Phillips,LAA,OF,29,40,63,9,11,1,0,3,6,3,1,8,36,0,0,0,0.175,0.268,0.333,0.601,
Jordan Luplow,MIN,OF,30,32,63,10,13,3,0,2,4,2,0,9,19,0,0,1,0.206,0.315,0.349,0.664,
Jon Singleton,HOU,1B,32,25,62,8,12,2,0,2,10,0,0,10,12,0,1,0,0.194,0.301,0.323,0.624,
Jason Vosler,CIN,3B,30,20,62,6,10,2,1,3,10,0,0,3,25,0,0,0,0.161,0.2,0.371,0.571,
Nick Loftin,KC,1B,25,19,62,10,20,5,1,0,10,2,0,4,12,0,1,1,0.323,0.368,0.435,0.803,
Evan Carter,TEX,OF,21,23,62,15,19,4,1,5,12,3,0,12,24,0,1,0,0.306,0.413,0.645,1.058,
Michael Stefanic,LAA,2B,27,25,62,5,18,2,1,0,6,0,1,8,8,0,0,1,0.29,0.38,0.355,0.735,
Colton Cowser,BAL,OF,23,26,61,15,7,2,0,0,4,1,0,13,22,0,1,2,0.115,0.286,0.148,0.434,
Estevan Florial,NYY,OF,26,19,61,5,14,3,1,0,8,3,0,7,20,0,1,2,0.23,0.324,0.311,0.635,
Juan Yepez,STL,OF,25,28,60,5,11,1,0,2,2,0,1,4,20,0,0,1,0.183,0.246,0.3,0.546,
Samad Taylor,KC,2B,25,31,60,11,12,2,1,0,4,8,0,7,22,1,1,0,0.2,0.279,0.267,0.546,
Jonathan Arauz,NYM,2B,25,27,59,3,8,0,0,3,9,0,0,5,18,2,0,0,0.136,0.203,0.288,0.491,
Franmil Reyes,KC,DH,28,19,59,5,11,0,0,2,7,0,0,4,24,0,2,0,0.186,0.231,0.288,0.519,
Josh Donaldson,MIL,3B,38,17,59,5,10,4,0,3,11,0,0,10,18,0,0,0,0.169,0.29,0.39,0.68,
Jo Adell,LAA,OF,24,17,58,7,12,3,1,3,6,1,0,4,25,0,0,0,0.207,0.258,0.448,0.706,
Tomas Nido,NYM,C,29,22,56,5,7,0,0,0,1,0,0,2,18,2,1,0,0.125,0.153,0.125,0.278,
Heliot Ramos,SF,OF,24,25,56,5,10,4,0,1,2,0,0,4,20,0,0,0,0.179,0.233,0.304,0.537,
Tim Locastro,NYM,OF,31,43,56,13,13,3,0,2,3,6,0,3,22,2,0,6,0.232,0.338,0.393,0.731,
Matt Beaty,KC,1B,30,26,56,7,13,4,0,0,3,0,0,6,12,0,0,5,0.232,0.358,0.304,0.662,
Brad Miller,TEX,OF,34,27,56,8,12,4,0,1,6,0,0,10,11,0,1,0,0.214,0.328,0.339,0.667,
Wade Meckler,SF,OF,23,20,56,6,13,1,0,0,4,0,0,6,25,0,0,2,0.232,0.328,0.25,0.578,
Luis Urias,MIL,2B,26,20,55,5,8,2,0,1,5,0,0,7,15,0,0,5,0.145,0.299,0.236,0.535,
