race_name,short_race_name,date,lap,driver_ID,driver,section,speed_mph
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,8,51,"Abel, Jacob",S02_Turn1Entry,63.558
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,8,51,"Abel, Jacob",S03_Turn1Exit,112.871
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,8,51,"Abel, Jacob",S04_Turn1A,143.02
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,8,51,"Abel, Jacob",S05_Turn2_3,81.056
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,8,51,"Abel, Jacob",S06_Turn4_5,77.701
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,8,51,"Abel, Jacob",S07_Turn6,83.723
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,8,51,"Abel, Jacob",S08)BackStretchA,153.102
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,8,51,"Abel, Jacob",S09_BackStretchB,162.333
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,8,51,"Abel, Jacob",S10_Turn7,77.259
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,8,51,"Abel, Jacob",S11_Turn8,102.799
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,8,51,"Abel, Jacob",S12_Turn9,115.576
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,8,51,"Abel, Jacob",S13_Turn9A,145.246
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,8,51,"Abel, Jacob",S14_Turn10_13,133.533
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,8,51,"Abel, Jacob",S15_Turn14,74.275
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,8,51,"Abel, Jacob",S16_Turn14A,133.113
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,8,51,"Abel, Jacob",S17_Turn14B,157.169
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,8,51,"Abel, Jacob",S18_Turn15_16,94.208
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,8,51,"Abel, Jacob",S19_Turn17,122.806
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,8,51,"Abel, Jacob",S20_FS_PI,135.31
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,8,51,"Abel, Jacob",lap_speed_mph,103.281
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,9,51,"Abel, Jacob",S01_FS_PO,150.528
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,9,51,"Abel, Jacob",S02_Turn1Entry,62.132
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,9,51,"Abel, Jacob",S03_Turn1Exit,111.155
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,9,51,"Abel, Jacob",S04_Turn1A,141.059
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,9,51,"Abel, Jacob",S05_Turn2_3,79.196
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,9,51,"Abel, Jacob",S06_Turn4_5,76.873
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,9,51,"Abel, Jacob",S07_Turn6,83.601
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,9,51,"Abel, Jacob",S08)BackStretchA,150.365
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,9,51,"Abel, Jacob",S09_BackStretchB,163.837
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,9,51,"Abel, Jacob",S10_Turn7,77.273
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,9,51,"Abel, Jacob",S11_Turn8,101.814
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,9,51,"Abel, Jacob",S12_Turn9,114.507
