person_number,pid,level,func_dept,region,emailcount,meetingcount,centrality,emailcount_int,meetingcount_int,emailcount_ext,meetingcount_ext,attainquota
232,848,Junior,Operations,East,19227,0,0.46720347,14149,0,5078,0,NA
233,853,Junior,G&A,Central,18511,1907,0.90723711,14595,1642,3916,265,NA
234,859,Junior,Sales,Central,1977,1295,0.19246218,1859,1153,118,142,141.30133
235,860,Junior,G&A,Central,16067,1225,0.54908508,8567,1082,7500,143,NA
236,861,Junior,Operations,Central,629,0,0.067234799,401,0,228,0,NA
237,862,MidLevel,HR,Central,4773,1466,0.38795388,4367,1162,406,304,NA
238,863,MidLevel,Product Management,Central,4920,4420,0.32440889,4680,3710,240,710,NA
239,866,MidLevel,Marketing,Central,4100,299,0.23472446,2900,208,1200,91,NA
240,868,Junior,G&A,Central,2991,662,0.18502568,2185,594,806,68,NA
241,869,MidLevel,Marketing,Central,7189,890,0.40774307,4909,751,2280,139,NA
242,875,Exec,G&A,Central,15069,2506,0.70604241,11011,2171,4058,335,NA
243,877,Junior,Operations,Central,864,578,0.16389324,756,545,108,33,NA
244,882,MidLevel,Marketing,Central,14143,1750,0.37408864,9275,1482,4868,268,NA
245,885,Junior,Marketing,Central,2889,1128,0.33495077,2497,923,392,205,NA
246,887,Exec,Marketing,Central,3526,3520,0.33381441,3492,2802,34,718,NA
247,894,Exec,Sales,South,3549,812,0.24635164,3271,731,278,81,74.52092
248,900,Junior,Operations,Central,4384,700,0.21535033,2092,639,2292,61,NA
249,901,Junior,Operations,Central,945,0,0.046848472,885,0,60,0,NA
250,908,Junior,G&A,Central,4878,1158,0.26056173,3796,1045,1082,113,NA
251,910,MidLevel,Marketing,Central,11026,1563,0.46663469,5642,1295,5384,268,NA
252,911,Junior,Operations,Central,852,0,0.028168702,820,0,32,0,NA
253,912,Junior,G&A,Central,2601,1100,0.40445712,2601,961,0,139,NA
254,914,MidLevel,G&A,Central,21371,1372,0.50731838,10885,1002,10486,370,NA
255,916,MidLevel,G&A,Central,8088,0,0.39152968,5822,0,2266,0,NA
256,917,Junior,Operations,Central,1513,890,0.095391832,899,800,614,90,NA
257,920,Junior,Marketing,Central,3776,1057,0.1416097,3350,914,426,143,NA
258,921,Junior,G&A,Central,5186,693,0.20814735,4026,634,1160,59,NA
259,922,Junior,Marketing,Central,1787,1283,0.23593067,1699,1035,88,248,NA
260,923,Exec,Sales,Central,2351,864,0.25208142,2351,766,0,98,73.463219
261,924,MidLevel,Marketing,Central,19966,2634,0.41222438,9008,2031,10958,603,NA
262,925,Exec,Sales,Central,9495,1992,0.61015612,8009,997,1486,995,125.92216
263,926,Junior,Marketing,Central,8123,1201,0.50763786,5781,968,2342,233,NA
264,928,Junior,G&A,Central,8012,443,0.21701214,4946,390,3066,53,NA
265,931,MidLevel,R&D,Central,8964,1438,0.28495803,6572,1291,2392,147,NA
266,933,Junior,Product Management,Central,42,0,0.00359158,22,0,20,0,NA
267,936,Junior,Sales,West,10837,449,0.37149572,5637,400,5200,49,59.3167
268,937,MidLevel,G&A,Central,14632,0,0.67275661,9852,0,4780,0,NA
269,947,Junior,G&A,Central,2657,0,0.3714526,2031,0,626,0,NA
270,949,Junior,R&D,Central,231,924,0.034692232,193,835,38,89,NA
271,951,Junior,Operations,Central,8331,887,0.25661787,6965,798,1366,89,NA
272,958,Junior,HR,Central,5712,867,0.28178355,3970,752,1742,115,NA
273,961,Junior,G&A,Central,1107,145,0.097913854,969,131,138,14,NA
274,964,MidLevel,G&A,Central,6762,2335,0.49987382,5620,2032,1142,303,NA
275,966,Junior,G&A,Central,1808,0,0.39579338,1584,0,224,0,NA
276,968,Junior,Marketing,Central,10103,1897,0.25927249,6907,1486,3196,411,NA
277,972,Junior,G&A,Central,2492,1137,0.21631618,2052,1009,440,128,NA
278,975,Exec,G&A,Central,2345,1929,0.31362307,2257,1695,88,234,NA
279,979,MidLevel,R&D,Central,3787,0,0.18141243,2311,0,1476,0,NA
280,982,MidLevel,G&A,Central,12041,110,0.98038331,8521,91,3520,19,NA
281,983,Junior,G&A,Central,10046,1281,0.38583612,7240,1139,2806,142,NA
282,986,MidLevel,Operations,Central,11145,539,0.46797562,9287,488,1858,51,NA
283,988,Exec,G&A,Central,6939,1149,0.49343866,4579,992,2360,157,NA
284,989,Junior,Operations,Central,895,0,0.074548021,685,0,210,0,NA
285,997,MidLevel,R&D,Central,4752,2300,0.22717574,3490,1957,1262,343,NA
286,998,MidLevel,G&A,Central,3418,1056,0.32678586,2796,943,622,113,NA
287,999,MidLevel,G&A,Central,9340,907,0.41847023,6022,813,3318,94,NA
288,1002,Exec,Marketing,Central,6680,0,0.44932663,5706,0,974,0,NA
289,1003,MidLevel,Sales,Central,7588,1274,0.50503421,4960,1113,2628,161,143.42606
290,1007,Junior,G&A,Central,5165,315,0.21774337,3645,286,1520,29,NA
291,1010,Exec,R&D,Central,2715,985,0.23209843,2093,875,622,110,NA
292,1011,Exec,G&A,Central,10526,2394,0.53769904,7064,2138,3462,256,NA
293,1012,Junior,Sales,South,2877,107,0.17391013,2427,83,450,24,120.83314
294,1015,MidLevel,G&A,Central,4568,979,0.34671652,3142,874,1426,105,NA
295,1017,Junior,Operations,Central,218,0,0.027864402,210,0,8,0,NA
296,1022,MidLevel,R&D,Central,4335,1555,0.19688907,3463,1426,872,129,NA
297,1023,Junior,Sales,South,5788,113,0.13778505,2866,89,2922,24,77.753113
298,1026,Junior,G&A,Central,3562,125,0.16077389,1640,104,1922,21,NA
299,1028,Junior,Sales,South,5495,71,0.17129287,3815,56,1680,15,132.40446
300,1029,Junior,Operations,Central,3446,0,0.15327896,2484,0,962,0,NA
301,1032,MidLevel,G&A,Central,6371,1966,0.42017734,5961,1722,410,244,NA
302,1035,MidLevel,HR,Central,2823,1034,0.24744652,1835,878,988,156,NA
303,1036,Junior,G&A,Central,6465,999,0.40053156,5157,887,1308,112,NA
304,1039,Junior,G&A,Central,7785,1315,0.61227101,6165,1161,1620,154,NA
305,1042,Junior,G&A,Central,1167,962,0.19947417,989,862,178,100,NA
306,1043,Junior,G&A,Central,1594,0,0.17992058,1280,0,314,0,NA
307,1044,Junior,R&D,Central,3217,0,0.27969211,2261,0,956,0,NA
308,1047,Exec,G&A,Central,3997,1342,0.31305626,3995,1196,2,146,NA
309,1049,Junior,G&A,Central,2138,191,0.28998867,1728,164,410,27,NA
310,1050,Junior,HR,Central,10604,1484,0.50547385,7662,1228,2942,256,NA
311,1051,MidLevel,HR,Central,13865,1720,0.52139258,8533,1431,5332,289,NA
312,1052,Exec,Marketing,Central,6678,0,0.32130247,4248,0,2430,0,NA
313,1053,Junior,R&D,Central,896,702,0.11760521,808,641,88,61,NA
314,1054,MidLevel,Marketing,Central,12956,2053,0.47055033,8540,1780,4416,273,NA
315,1055,MidLevel,Product Management,Central,9296,0,0.34657443,6138,0,3158,0,NA
316,1058,Exec,Marketing,Central,4608,0,0.30901259,4308,0,300,0,NA
317,1059,Exec,Marketing,Central,10848,1269,0.41454113,6958,1065,3890,204,NA
318,1064,MidLevel,G&A,Central,4159,1513,0.30107298,3827,1367,332,146,NA
319,1071,Junior,Operations,West,12403.3,5035,0.58497369,6843,4205,5560.3,830,NA
320,1081,MidLevel,Marketing,South,7824,335,0.31502032,5820,265,2004,70,NA
321,1115,Junior,Operations,South,14576,113,0.13338679,5508,110,9068,3,NA
322,1116,MidLevel,Marketing,East,7477,0,0.37553495,5325,0,2152,0,NA
323,1127,Junior,Operations,East,5276,0,0.22243205,4634,0,642,0,NA
324,1151,Junior,Operations,West,4004,975,0.19801167,3606,898,398,77,NA
325,1152,Junior,G&A,East,3199,0,0.20718944,2241,0,958,0,NA
326,1160,Junior,R&D,South,1086,65,0.059583299,696,13,390,52,NA
327,1163,Junior,Marketing,East,4687,0,0.24642578,2707,0,1980,0,NA
328,1167,Junior,Operations,South,706,0,0.090713285,702,0,4,0,NA
329,1168,Junior,G&A,East,3858,0,0.28256795,3400,0,458,0,NA
330,1169,Junior,G&A,Central,1624,0,0.10104945,1042,0,582,0,NA
331,1171,Junior,Operations,South,498,20,0.044925801,498,16,0,4,NA
332,1174,Junior,Operations,West,2134,101,0.075542979,1786,94,348,7,NA
333,1175,Junior,Operations,West,3180,7,0.20257887,2222,7,958,0,NA
334,1177,Junior,Operations,West,2973,588,0.21477883,1947,550,1026,38,NA
335,1178,Junior,G&A,East,6319,0,0.32567999,5321,0,998,0,NA
336,1179,Junior,Sales,East,8170,213,0.22365642,4572,183,3598,30,157.73035
337,1180,Junior,Operations,West,1766,813,0.19694023,1356,446,410,367,NA
338,1181,Junior,HR,South,4060,78,0.15366888,2728,61,1332,17,NA
339,1182,Junior,Sales,East,7947,95,0.23985887,5741,86,2206,9,67.319794
340,1183,Junior,Marketing,South,1842,100,0.10589226,1438,95,404,5,NA
