pitcherID_2024,player,age,team,team_rank,team_wins,team_win_pct,league,division,team_division_standing,salary,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
105,ColinPoche,30,WAS,25,71,0.438,NL,NL_East,4,2375000,0,1,40.5,1,0,0,0,0,0,0.2,1,4,3,0,0,2,1,4.5,0.333
106,YarielRodriguez,,TOR,24,74,0.457,AL,AL_East,5,,0,0,27,1,0,0,0,0,0,1,3,3,3,2,0,1,1,4,0.5
107,JordanRomano,31,PHI,2,95,0.586,NL,NL_East,1,7750000,0,0,18,1,0,0,0,0,1,1,1,2,2,0,1,1,1,2,0.25
108,ChrisRoycroft,27,STL,15,83,0.512,NL,NL_Central,3,740000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
109,ColeSands,26,MIN,17,82,0.506,AL,AL_Central,2,749450,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
110,DennisSantana,28,PIT,23,76,0.469,NL,NL_Central,5,740000,0,0,0,1,0,0,0,0,0,0.1,0,0,0,0,0,2,1,6,0
111,PaulSewald,34,CLE,6,92,0.571,AL,AL_Central,1,7350000,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
112,LucasSims,30,WAS,25,71,0.438,NL,NL_East,4,2850000,0,0,13.5,1,0,0,0,0,1,0.2,1,1,1,1,0,0,1,1.5,0.333
113,JustinSlaten,26,BOS,18,81,0.5,AL,AL_East,3,740000,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
114,GeorgeSoriano,25,MIA,28,62,0.383,NL,NL_East,5,,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,2,1,1,0
115,MattStrahm,32,PHI,2,95,0.586,NL,NL_East,1,7500000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
116,CalebThielbar,37,CHC,16,83,0.512,NL,NL_Central,2,3225000,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
117,TrentThornton,30,SEA,14,85,0.525,AL,AL_West,2,1200000,1,0,9,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0.25
118,JesusTinoco,,MIA,28,62,0.383,NL,NL_East,5,740000,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,2,0.25
119,GarrettWhitlock,28,BOS,18,81,0.5,AL,AL_East,3,3500000,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0.5,0.143
120,DannyYoung,30,NYM,10,89,0.549,NL,NL_East,3,740000,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0.333
121,KeeganAkin,29,BAL,7,91,0.562,AL,AL_East,2,825000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0
122,JacobBarnes,34,TOR,24,74,0.457,AL,AL_East,5,740000,0,0,18,1,0,0,0,0,0,1,1,2,2,0,0,1,0,2,0.25
123,DavidBednar,29,PIT,23,76,0.469,NL,NL_Central,5,4510000,0,1,,1,0,0,0,0,0,0,2,1,1,0,0,1,0,,1
124,AaronBummer,30,ATL,8,89,0.549,NL,NL_East,2,5500000,0,0,9,1,0,0,0,0,0,1,1,1,1,0,0,1,0,2,0.5
125,SeranthonyDomínguez,29,BAL,7,91,0.562,AL,AL_East,2,,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,3,0.333
126,LucasErceg,29,KC,12,86,0.531,AL,AL_Central,2,750000,0,0,0,1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
127,TylerFerguson,30,OAK,26,69,0.426,AL,AL_West,4,740000,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,2,0,2,0
128,RobertGarcia,28,TEX,21,78,0.481,AL,AL_West,3,742800,0,0,0,1,0,0,0,0,0,0.2,0,0,0,0,0,2,0,3,0
129,TimHill,34,NYY,3,94,0.58,AL,AL_East,1,740000,0,0,0,1,0,0,0,0,0,0.2,1,0,0,0,0,0,0,1.5,0.333
130,JohnKing,29,STL,15,83,0.512,NL,NL_Central,3,1005000,0,0,0,1,0,0,0,0,0,0.1,1,0,0,0,0,0,0,3,0.5
131,JaredKoenig,30,MIL,4,93,0.574,AL,NL_Central,1,740000,0,0,27,1,0,0,0,0,0,0.2,2,2,2,0,0,1,0,4.5,0.667
132,KyleLeahy,27,STL,15,83,0.512,NL,NL_Central,3,740000,0,0,13.5,1,0,0,0,0,0,0.2,1,1,1,0,0,1,0,3,0.333
